name,uuid,path,date,jurisdiction,category,subtext
Subsecretaría de Mercados Agroalimentarios e Inserción Internacional,0b24eae8-d774-5a11-afd5-a5b31c7064f9,"Presidencia de la Nación<br>Ministerio de Economía<br>Secretaría de Agricultura, Ganadería y Pesca<br>Subsecretaría de Mercados Agroalimentarios e Inserción Internacional",2025_07_08,Ministerio de Economía,seguridad interior,registro fiscalizacion operatoria persona humano juridica comercio industrializacion distinto cadena agroalimentario agroindustrial funcion control fiscalizacion <br><b>policia</b><br> previsto articulo decretoley agosto modificado articulo resolucion junio ministerio economia obra servicio publico decreto resolucion
Subsecretaría de Relaciones Sectoriales y Articulación,4ed30235-56f8-59d7-ab60-bcfd4ed7f9d2,Presidencia de la Nación<br>Ministerio de Salud<br>Secretaría de Gestión Sanitaria<br>Subsecretaría de Relaciones Sectoriales y Articulación,2025_07_08,Ministerio de Salud,género y diversidad sexual,implementacion tratamiento convencional secretaria estrategia politica materia salud materno infantil adolescente adulto persona mayor salud <br><b>sexual</b><br> procreacion responsable reproduccion medicamente asistido embarazo intencional adolescente secretaria articulacion estrategia atencion primario salud jurisdiccion
Secretaría de Políticas Integrales sobre Drogas de la Nación Argentina,d0ca5795-0002-5f66-a731-7275f80e09eb,Presidencia de la Nación<br>Ministerio de Salud<br>Secretaría de Políticas Integrales sobre Drogas de la Nación Argentina,2025_07_08,Ministerio de Salud,seguridad interior,estupefaciente sustancia psicoactiva asistencia tecnico analisis elaboracion proyecto legislativo asistencia tecnico diseno capacitacion recurso humano <br><b>fuerza</b><br> <br><b>seguridad</b><br> institucion nacional prevencion atencion cuidado materia consumo problematico estupefaciente sustancia psicoactiva gobierno nacional reunion organismo
Subsecretaría de Integración Socio Urbana,b9d9d377-377a-595d-829e-5cb0886fb880,Presidencia de la Nación<br>Ministerio de Economía<br>Secretaría de Obras Públicas<br>Subsecretaría de Integración Socio Urbana,2025_07_08,Ministerio de Economía,hábitat y vivienda,diseno mecanismo participacion desarrollo implementacion proyecto integracion socio urbano diseno ejecucion proyecto infraestructura urbano mejoramiento <br><b>habitat</b><br> implementacion iniciativa tendient vinculacion desarrollo productivo proyecto integracion socio urbano diseno implementacion politica acceso solucion
Secretaría de Asuntos Internacionales para la Defensa,a79fbdd2-7fad-5497-ab09-9581b693c3d9,Presidencia de la Nación<br>Ministerio de Defensa<br>Secretaría de Asuntos Internacionales para la Defensa,2025_07_08,Ministerio de Defensa,defensa nacional,planificacion seguimiento ejecucion ejercicio conjunto combinado ejercicio especifico combinado fuerza extranjero planificacion seguimiento ejecucion operacion <br><b>militar</b><br> fuerza armado argentino cumplimiento competencia asignado ministerio defensa fuerza armado frente libre organizacion naciones unidas
Subsecretaría de Políticas Territoriales y Desarrollo Humano,40b4a84d-2315-5e6f-81ff-d6eaff9647c7,"Presidencia de la Nación<br>Ministerio de Capital Humano<br>Secretaría Nacional de Niñez, Adolescencia y Familia<br>Subsecretaría de Políticas Territoriales y Desarrollo Humano",2025_07_08,Ministerio de Capital Humano,política social,fortalecimiento oferta actividad recreativa formativo servicio social ofrecido efector social comunidad priorizado desarrollo humano persona <br><b>familia</b><br> situacion vulnerabilidad social accion area competente administracion publico nacional jurisdiccion local correspondiente diseno implementacion plan
Subsecretaría de Recursos Hídricos,b1fb0f8d-c327-5de9-9f5f-4affefbc33e2,Presidencia de la Nación<br>Ministerio de Economía<br>Secretaría de Obras Públicas<br>Subsecretaría de Recursos Hídricos,2025_07_08,Ministerio de Economía,medio ambiente,preservacion aprovechamiento coordinacion organismo competente materia jurisdiccion involucrado confeccion planeamiento estrategico gestion recurso hidrico desarrollo <br><b>sustentable</b><br> forma coordinado recurso natural formulacion ejecucion plan programa proyecto orientado aprovechamiento conservacion proteccion monitoreo recurso
Ministerio de Desregulación y Transformación del Estado,704785a8-d49e-5fde-ac91-513386663409,Presidencia de la Nación<br>Ministerio de Desregulación y Transformación del Estado,2025_07_08,Ministerio de Desregulación y Transformación del Estado,trabajo y empleo,miras gasto publico eficiencia eficacia organismo administracion nacional transformacion gestion simplificacion diseno ejecucion politica relativo <br><b>empleo</b><br> publico particular determinacion objetivo politica area competencia plan programa proyecto area competencia elaborado conforme directiva
Casa Militar,7a1bc09b-a67e-510d-8ca4-29d27b6c8758,Presidencia de la Nación<br>Secretaría General<br>Casa Militar,2025_07_08,Secretaría General,defensa nacional,casa <br><b>militar</b><br> responsabilidad primario seguridad presidente nacion vicepresidente nacion mandatario familiar directo casa gobierno residencia presidencial olivo
Casa Militar,7a1bc09b-a67e-510d-8ca4-29d27b6c8758,Presidencia de la Nación<br>Secretaría General<br>Casa Militar,2025_07_08,Secretaría General,seguridad interior,nacional funcionamiento mantenimiento integral flota aereo presidencial capacitacion norma internacional personal asignado area coordinacion efectivo <br><b>policia</b><br> federal argentino asignado division custodio presidencial dependencia casa militar agrupacion seguridad inteligencia conformidad reglamento comisaria
Casa Militar,7a1bc09b-a67e-510d-8ca4-29d27b6c8758,Presidencia de la Nación<br>Secretaría General<br>Casa Militar,2025_07_08,Secretaría General,política social,mandatario familiar directo casa gobierno residencia presidencial olivo residencia presidencial chapadmalal lugar residencia transitorio presidente <br><b>familia</b><br> territorio nacional ambito internacional subsecretaria asunto presidencial coordinacion tarea ceremonial militar presidente nacion especificamente concerniente
Subsecretaría de Transporte Automotor,6b26a43e-ab11-5a75-9685-201244c23b2e,Presidencia de la Nación<br>Ministerio de Economía<br>Secretaría de Transporte<br>Subsecretaría de Transporte Automotor,2025_07_08,Ministerio de Economía,hábitat y vivienda,politica permiso concesion explotacion servicio transporte automotor pasajero carga jurisdiccion nacional planificacion estructuracion transporte automotor <br><b>urbano</b><br> suburbano interurbano carga pasajero jurisdiccion nacional elaboracion pliego base condicion concurso licitacion proceso licitatorio otorgamiento
"Secretaría de Trabajo, Empleo y Seguridad Social",ba8896e6-0dca-5230-a573-621545521808,"Presidencia de la Nación<br>Ministerio de Capital Humano<br>Secretaría de Trabajo, Empleo y Seguridad Social",2025_07_08,Ministerio de Capital Humano,trabajo y empleo,social objetivo ministro relativo relacion condicion individual colectivo trabajo regimen legal negociacion colectivo asociacion profesional <br><b>trabajador</b><br> empleador empleo capacitacion laboral seguridad social plan programa proyecto area competencia elaborado conforme directiva ministro
Ministerio de Justicia,06e226ca-f638-52bf-852e-544776cca34f,Presidencia de la Nación<br>Ministerio de Justicia,2025_07_08,Ministerio de Justicia,defensa nacional,nacional jefatura gabinete ministro ministro secretario funcionario competente procuracion tesoro nacion organizacion aplicacion regimen representacion <br><b>defensa</b><br> <br><b>nacional</b><br> juicio procuracion tesoro nacion procesal litigio interes nacional entidad descentralizada poder comprometido calidad juicio apoyo
Ministerio de Justicia,06e226ca-f638-52bf-852e-544776cca34f,Presidencia de la Nación<br>Ministerio de Justicia,2025_07_08,Ministerio de Justicia,seguridad interior,legislacion general adecuacion codigo coordinacion ministerio seguridad determinacion politica criminal elaboracion plan programa aplicacion prevencion <br><b>delito</b><br> caso indulto conmutacion pena conformacion inscripcion registro contrato constitutivo sociedad autorizacion funcionamiento asociacion fundacion fiscalizacion
Ministerio de Economía,b1dfee42-7993-53ac-8bb5-dabe3a7b0c6a,Presidencia de la Nación<br>Ministerio de Economía,2025_07_08,Ministerio de Economía,trabajo y empleo,evolucion economico pais seguimiento impacto politica productivo desarrollo sector rama cadena valor actividad economica politica <br><b>laboral</b><br> tributario vinculado unidad produccion ambito competencia conformacion administracion regimen precio indiz ambito competencia politica monetario
Ministerio de Economía,b1dfee42-7993-53ac-8bb5-dabe3a7b0c6a,Presidencia de la Nación<br>Ministerio de Economía,2025_07_08,Ministerio de Economía,hábitat y vivienda,publica infraestructura politica hidrico nacional transporte aereo ferroviario automotor fluvial maritimo actividad vial politica desarrollo <br><b>vivienda</b><br> habitat integracion urbano concesion obra infraestructura servicio publico particular plan programa proyecto area competencia elaborado
Secretaría de Educación,6d56983a-2981-59ab-8880-2af33bf4fc5b,Presidencia de la Nación<br>Ministerio de Capital Humano<br>Secretaría de Educación,2025_07_08,Ministerio de Capital Humano,trabajo y empleo,orientado equidad calidad educativo desarrollo integracion politica universitario educacion superior modelo desarrollo pais demanda mercado <br><b>laboral</b><br> instituto nacional formacion docente instituto nacional educacion tecnologico estrategia dispositivo programa trayectoria educativo nino joven
"Secretaría de Turismo, Ambiente y Deportes",3a13b53d-54b0-5651-923c-72d8bc2cfc8c,"Presidencia de la Nación<br>Jefatura de Gabinete de Ministros<br>Vicejefatura de Gabinete del Interior<br>Secretaría de Turismo, Ambiente y Deportes",2025_07_08,Jefatura de Gabinete de Ministros,medio ambiente,turismo <br><b>ambiente</b><br> deporte responsabilidad primario formulacion politica turismo ambiente deporte ambito nacional plan programa proyecto vinculado turismo
"Secretaría Nacional de Niñez, Adolescencia y Familia",9812d842-aa57-5a00-bbe3-9dd1b96b17dc,"Presidencia de la Nación<br>Ministerio de Capital Humano<br>Secretaría Nacional de Niñez, Adolescencia y Familia",2025_07_08,Ministerio de Capital Humano,política social,nacional ninez adolescencia <br><b>familia</b><br> responsabilidad primario competencia proteccion integral ninez adolescencia conforme plan programa caracter nacional federal ninez adolescencia
Unidad Ejecutora Especial Temporaria `Agencia de Transformación de Empresas Públicas’,58ee934f-8c97-5b03-b9f8-07fdfb46818f,Presidencia de la Nación<br>Ministerio de Economía<br>Unidad Ejecutora Especial Temporaria `Agencia de Transformación de Empresas Públicas’,2025_07_08,Ministerio de Economía,trabajo y empleo,publica relacion laboral empresa sociedad contemplado inciso articulo modificatoria cualquiera denominacion naturaleza juridico secretaria trabajo <br><b>empleo</b><br> seguridad social ministerio capital humano subsecretaria desarrollo modernizacion empleo publico secretaria transformacion funcion dependiente ministerio
Subsecretaría de Empleo y Formación Laboral,e955708b-c1ac-54fb-be66-e1c93844980d,"Presidencia de la Nación<br>Ministerio de Capital Humano<br>Secretaría de Trabajo, Empleo y Seguridad Social<br>Subsecretaría de Empleo y Formación Laboral",2025_07_08,Ministerio de Capital Humano,trabajo y empleo,<br><b>empleo</b><br> formacion laboral responsabilidad primario ejecucion plan programa proyecto area competencia conforme directiva secretaria formulacion diseno
Subsecretaría de Empleo y Formación Laboral,e955708b-c1ac-54fb-be66-e1c93844980d,"Presidencia de la Nación<br>Ministerio de Capital Humano<br>Secretaría de Trabajo, Empleo y Seguridad Social<br>Subsecretaría de Empleo y Formación Laboral",2025_07_08,Ministerio de Capital Humano,hábitat y vivienda,eficiencia eficacia prestacion articulacion politica programa accion cabo observatorio demanda empleo correspondiente criterio regional provincial <br><b>urbano</b><br> rural estacional transitorio permanente secretario participacion consejo nacional empleo productividad salario minimo vital movil recomendacion
Subsecretaría de Promoción Humana,849c7ec5-9469-5b22-8122-5356798152ca,"Presidencia de la Nación<br>Ministerio de Capital Humano<br>Secretaría Nacional de Niñez, Adolescencia y Familia<br>Subsecretaría de Promoción Humana",2025_07_08,Ministerio de Capital Humano,política social,promocion humano responsabilidad primario estrategia integral intervencion contexto alto vulnerabilidad herramienta oportunidad autonomia <br><b>familia</b><br> comunidad inclusion acceso equitativo politica social accion diseno gestion evaluacion politica social tendient poblacion situacion
Secretaría de Inteligencia de Estado,b9e0585f-00d2-5571-a170-2ee9528aaaba,Presidencia de la Nación<br>Secretaría de Inteligencia de Estado,2025_07_08,Secretaría de Inteligencia de Estado,defensa nacional,capacitacion superior personal inteligencia trav escuela nacional inteligencia ministerio defensa informacion inteligencia produccion inteligencia estrategico <br><b>militar</b><br> conformidad estipulado materia articulo consejo seguridad interior informacion inteligencia produccion inteligencia criminal conformidad estipulado materia
Secretaría de Inteligencia de Estado,b9e0585f-00d2-5571-a170-2ee9528aaaba,Presidencia de la Nación<br>Secretaría de Inteligencia de Estado,2025_07_08,Secretaría de Inteligencia de Estado,seguridad interior,inteligencia nacional contrainteligencia actividad funcionamiento sistema inteligencia nacional relacion organismo inteligencia actividad marco defensa nacional <br><b>seguridad</b><br> <br><b>interior</b><br> funcionario designado ministro area respectivo cuyo rango podra inferior subsecretario organo administracion nacional informacion necesario
Secretaría de Cultura,1580a23b-d168-5277-a9fc-89579bf44f74,Presidencia de la Nación<br>Secretaría de Cultura,2025_07_08,Secretaría de Cultura,trabajo y empleo,ampliacion derecho referido materia ministro promocion produccion intercambio conocimiento cientifico tema relacionado industria cultural generacion <br><b>empleo</b><br> sectorial servicio vinculado ministro ejercicio control tutelar biblioteca nacional doctor mariano moreno cinemateca archivo imagen
"Secretaría de Innovación, Ciencia y Tecnología",2040bbd3-870a-580f-954c-582c628d8198,"Presidencia de la Nación<br>Jefatura de Gabinete de Ministros<br>Secretaría de Innovación, Ciencia y Tecnología",2025_07_08,Jefatura de Gabinete de Ministros,trabajo y empleo,actividad relativo presidencia coordinacion ejecutivo gabinete cientifico tecnologico gactec termino normativa vigente ambito competencia formacion <br><b>empleo</b><br> recurso humano calificado promocion movilidad utilizacion renovacion ampliacion recurso fisico infraestructura disponible
Subsecretaría de Defensa Civil y Protección Humanitaria,dc5c4b99-3ac7-540b-85b3-e11e9ee313cb,Presidencia de la Nación<br>Ministerio de Defensa<br>Subsecretaría de Defensa Civil y Protección Humanitaria,2025_07_08,Ministerio de Defensa,defensa nacional,armado situacion emergencia desastre territorio nacion programa adiestramiento conjunto combinado materia defensa proteccion humanitario personal <br><b>militar</b><br> protocolo procedimiento respuesta desastre natural situacion emergencia ambito competencia operacion fuerza armado apoyo actividad defensa
Subsecretaría de Defensa Civil y Protección Humanitaria,dc5c4b99-3ac7-540b-85b3-e11e9ee313cb,Presidencia de la Nación<br>Ministerio de Defensa<br>Subsecretaría de Defensa Civil y Protección Humanitaria,2025_07_08,Ministerio de Defensa,trabajo y empleo,emergencia ambito competencia operacion fuerza armado apoyo actividad defensa civil proteccion humanitario tiempo acuerdo convenio <br><b>empleo</b><br> fuerza armado apoyo emergencia zona frontera asistencia humanitario pais marco politica cooperacion politica exterior republica
Subsecretaría de Políticas Universitarias,8b5ea012-4d11-50f8-b248-397ad5b383af,Presidencia de la Nación<br>Ministerio de Capital Humano<br>Secretaría de Educación<br>Subsecretaría de Políticas Universitarias,2025_07_08,Ministerio de Capital Humano,trabajo y empleo,politica estrategia articulacion regional institucion educacion universitario comunidad responsabilidad primario estrategia mejoramiento institucion universitario asignacion <br><b>empleo</b><br> recurso economico financiero responsabilidad primario elaboracion contenido formacion tecnico profesional criterio implementacion sistema nacional acreditacion
Secretaría de Desregulación,7f8a44cc-9059-5ffd-bc55-e854e2a18fd9,Presidencia de la Nación<br>Ministerio de Desregulación y Transformación del Estado<br>Secretaría de Desregulación,2025_07_08,Ministerio de Desregulación y Transformación del Estado,trabajo y empleo,esquema tributario excepcion impositiva regimen especial privilegio distorsion funcionamiento mercado economia proyecto reforma estructural creacion <br><b>empleo</b><br> desarrollo economico equiparacion estructura tributario eliminacion privilegio marco competencia
Unidad Ejecutora Especial Temporaria 'Unidad Ejecutora del Programa Volver al Trabajo',6896623b-b942-5d53-abe2-9d0aaf808a8d,"Presidencia de la Nación<br>Ministerio de Capital Humano<br>Secretaría de Trabajo, Empleo y Seguridad Social<br>Subsecretaría de Empleo y Formación Laboral<br>Unidad Ejecutora Especial Temporaria 'Unidad Ejecutora del Programa Volver al Trabajo'",2025_07_08,Ministerio de Capital Humano,trabajo y empleo,proceso registro beneficiario programa trabajo dispositivo destinado planificacion esquema prestacion intermediacion orientacion formacion laboral promocion <br><b>empleo</b><br> asalariado independiente autogestionado beneficiario programa trabajo area secretaria trabajo empleo seguridad social competencia materia accion
Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa,d6455dc4-b521-548f-946f-51f33f188b64,Presidencia de la Nación<br>Ministerio de Defensa<br>Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa,2025_07_08,Ministerio de Defensa,defensa nacional,formulacion anteproyecto presupuesto jurisdiccion seguimiento evaluacion ejecucion distribucion recurso presupuestario asignado conformidad prioridad emergente planeamiento <br><b>militar</b><br> conjunto aplicacion coordinacion control sistema integral gestion inversion defensa sigid proyecto inversion conformado organismo entidad
Secretaría de Política Económica,7ab9b503-a797-5f12-a4e1-e2791b611ee7,Presidencia de la Nación<br>Ministerio de Economía<br>Secretaría de Política Económica,2025_07_08,Ministerio de Economía,trabajo y empleo,local cambio contexto internacional coordinacion area jurisdiccion competencia materia realizacion diagnostico seguimiento nivel vida pobreza <br><b>empleo</b><br> distribucion ingreso poblacion elaboracion propuesta seguimiento estrategia politica tendient crecimiento economico inclusion social elaboracion propuesta
Secretaría de Política Económica,7ab9b503-a797-5f12-a4e1-e2791b611ee7,Presidencia de la Nación<br>Ministerio de Economía<br>Secretaría de Política Económica,2025_07_08,Ministerio de Economía,política social,economia local cambio contexto internacional coordinacion area jurisdiccion competencia materia realizacion diagnostico seguimiento nivel vida <br><b>pobreza</b><br> empleo distribucion ingreso poblacion elaboracion propuesta seguimiento estrategia politica tendient crecimiento economico inclusion social elaboracion
Secretaría de Gestión Sanitaria,1675d074-601d-5d30-b7c4-887e850fab86,Presidencia de la Nación<br>Ministerio de Salud<br>Secretaría de Gestión Sanitaria,2025_07_08,Ministerio de Salud,género y diversidad sexual,relativo promocion conducta saludable comunidad diseno estrategia politica programa materia salud materno infantil adolescente salud <br><b>sexual</b><br> procreacion responsable prevencion embarazo intencional adolescente reproduccion medicamente asistido prevencion tratamiento enfermedad transmision sexual plan
Secretaría de Gestión Sanitaria,1675d074-601d-5d30-b7c4-887e850fab86,Presidencia de la Nación<br>Ministerio de Salud<br>Secretaría de Gestión Sanitaria,2025_07_08,Ministerio de Salud,trabajo y empleo,universidad instituto formacion superior investigacion materia innovacion desarrollo politica reduccion morbimortalidad factor origen laboral salud <br><b>trabajador</b><br> funcionamiento consejo federal planificacion desarrollo trabajador salud control tutelar instituto nacional central unico coordinador ablacion
Subsecretaría de Programación Macroeconómica,7dc370db-a96f-5991-b059-12ca55ec5688,Presidencia de la Nación<br>Ministerio de Economía<br>Secretaría de Política Económica<br>Subsecretaría de Programación Macroeconómica,2025_07_08,Ministerio de Economía,trabajo y empleo,pauta programacion fiscal mediano plazo basado experiencia internacional acuerdo coordinacion politica macroeconomica seguimiento diagnostico nivel <br><b>empleo</b><br> pobreza indigencia distribucion ingreso accion mejoramiento secretaria coordinacion diseno estrategia politica tendient crecimiento economico inclusion
Subsecretaría de Programación Macroeconómica,7dc370db-a96f-5991-b059-12ca55ec5688,Presidencia de la Nación<br>Ministerio de Economía<br>Secretaría de Política Económica<br>Subsecretaría de Programación Macroeconómica,2025_07_08,Ministerio de Economía,política social,programacion fiscal mediano plazo basado experiencia internacional acuerdo coordinacion politica macroeconomica seguimiento diagnostico nivel empleo <br><b>pobreza</b><br> indigencia distribucion ingreso accion mejoramiento secretaria coordinacion diseno estrategia politica tendient crecimiento economico inclusion social
Subsecretaría de Reformas Estructurales,31434e5c-8a0f-572b-8769-17517569db68,Presidencia de la Nación<br>Ministerio de Desregulación y Transformación del Estado<br>Secretaría de Desregulación<br>Subsecretaría de Reformas Estructurales,2025_07_08,Ministerio de Desregulación y Transformación del Estado,trabajo y empleo,excepcion impositiva regimen especial privilegio distorsion funcionamiento mercado economia secretaria elaboracion proyecto reforma estructural creacion <br><b>empleo</b><br> desarrollo economico equiparacion estructura tributario eliminacion privilegio realizacion estudio acerca reforma estructural necesario creacion empleo
Secretaría de Seguridad Nacional,95199c06-797e-56e7-8df8-0b716501080e,Presidencia de la Nación<br>Ministerio de Seguridad Nacional<br>Secretaría de Seguridad Nacional,2025_07_08,Ministerio de Seguridad Nacional,seguridad interior,caracteristica ambito actuacion politica coordinacion multiagencial demas area gobierno sociedad civil plan programa integral prevencion <br><b>delito</b><br> violencia ambito competencia tarea prevencion delito basado deteccion causa necesidad logistica equipamiento fuerza policial seguridad
Subsecretaría de Institutos y Fiscalización,5995a75d-1127-5235-9dd3-eeae752ba82c,Presidencia de la Nación<br>Ministerio de Salud<br>Secretaría de Gestión Sanitaria<br>Subsecretaría de Institutos y Fiscalización,2025_07_08,Ministerio de Salud,trabajo y empleo,politica programa farmaceutico sistema salud diseno implementacion politica salud vinculado reduccion morbimortalidad factor laboral salud <br><b>trabajador</b><br> general servicio administracion publico nacional particular
Secretaría de Transformación del Estado y Función Pública,7d887e3e-6620-5f56-908a-91d2f11f9482,Presidencia de la Nación<br>Ministerio de Desregulación y Transformación del Estado<br>Secretaría de Transformación del Estado y Función Pública,2025_07_08,Ministerio de Desregulación y Transformación del Estado,trabajo y empleo,agente administracion publico nacional propuesta norma reglamentario materia formulacion politica nacional materia recurso humano gestion <br><b>empleo</b><br> publico evaluacion desempeno compensacion ambito competencia ministro transformacion modernizacion desarrollo politica gestion empleo publico optimizacion
Ministerio de Capital Humano,dd683ce3-5131-52b9-a780-879c85f3494f,Presidencia de la Nación<br>Ministerio de Capital Humano,2025_07_08,Ministerio de Capital Humano,seguridad interior,conflicto individual plurindividual colectivo trabajo aplicacion norma legal relativo constitucion funcionamiento asociacion profesional trabajador ejercicio <br><b>policia</b><br> orden laboral autoridad central superintendencia inspeccion trabajo
Ministerio de Capital Humano,dd683ce3-5131-52b9-a780-879c85f3494f,Presidencia de la Nación<br>Ministerio de Capital Humano,2025_07_08,Ministerio de Capital Humano,género y diversidad sexual,seguridad alimentario reduccion pobreza desarrollo igualdad oportunidad sector vulnerable particular persona discapacidad nina nino adolescente <br><b>mujer</b><br> adulto mayor proteccion familia fortalecimiento organizacion comunitario relativo acceso vivienda habitat digno cumplimiento compromiso asumido
Ministerio de Capital Humano,dd683ce3-5131-52b9-a780-879c85f3494f,Presidencia de la Nación<br>Ministerio de Capital Humano,2025_07_08,Ministerio de Capital Humano,trabajo y empleo,competencia concerniente educacion cultura relacion condicion individual colectivo trabajo regimen legal negociacion colectivo asociacion profesional <br><b>trabajador</b><br> empleador empleo capacitacion laboral seguridad social asistencia promocion cuidado inclusion social desarrollo humano seguridad alimentario
Ministerio de Capital Humano,dd683ce3-5131-52b9-a780-879c85f3494f,Presidencia de la Nación<br>Ministerio de Capital Humano,2025_07_08,Ministerio de Capital Humano,hábitat y vivienda,persona discapacidad nina nino adolescente mujer adulto mayor proteccion familia fortalecimiento organizacion comunitario relativo acceso <br><b>vivienda</b><br> habitat digno cumplimiento compromiso asumido relacion tratado internacional convenio multinacional materia competencia accion plan programa
Ministerio de Capital Humano,dd683ce3-5131-52b9-a780-879c85f3494f,Presidencia de la Nación<br>Ministerio de Capital Humano,2025_07_08,Ministerio de Capital Humano,política social,empleo capacitacion laboral seguridad social asistencia promocion cuidado inclusion social desarrollo humano seguridad alimentario reduccion <br><b>pobreza</b><br> desarrollo igualdad oportunidad sector vulnerable particular persona discapacidad nina nino adolescente mujer adulto mayor proteccion
